Iteration,Total Timesteps,Iteration Time,Total Time,FPS,Value Function Loss,Surrogate Loss,    Imitate Loss,Mean Action Noise Std,Mean Reward,Mean Episode Length
0,98304,2.711019992828369,2.711019992828369,36260,0.04640799835324287,-0.0054502967919688675,"tensor(inf, device='cuda:0', dtype=torch.float64)",0.998883843421936,-0.4567656274884939,13.8125
1,196608,2.818148612976074,5.529168605804443,34882,0.16292964592576026,-0.002132527341746027,"tensor(24.7957, device='cuda:0', dtype=torch.float64)",0.9978665709495544,-0.7190543377399444,21.56
2,294912,2.8247172832489014,8.353885889053345,34801,0.1573406785726547,-0.0010232390523015056,"tensor(12.9757, device='cuda:0', dtype=torch.float64)",0.996575653553009,-0.9633247414603829,30.1875
3,393216,2.8411049842834473,11.194990873336792,34600,0.13542469069361687,-0.004032814387028338,"tensor(9.1438, device='cuda:0', dtype=torch.float64)",0.996185302734375,-2.1670446832632195,55.05172413793103
4,491520,2.8460540771484375,14.04104495048523,34540,0.05993189308792353,2.8180987283121794e-05,"tensor(8.1133, device='cuda:0', dtype=torch.float64)",0.9930232167243958,-4.719087077379227,101.84
5,589824,2.8545138835906982,16.895558834075928,34438,0.0589264752343297,-0.0006545493437442928,"tensor(6.7945, device='cuda:0', dtype=torch.float64)",0.987959086894989,-6.17368201494217,138.81
6,688128,2.9685802459716797,19.864139080047607,33114,0.060910732671618464,-0.0021375735581386835,"tensor(5.7984, device='cuda:0', dtype=torch.float64)",0.9836422801017761,-7.168150706291199,164.73
7,786432,2.9199607372283936,22.784099817276,33666,0.05197628494352102,0.0015649210496576416,"tensor(5.5385, device='cuda:0', dtype=torch.float64)",0.981715202331543,-7.254009532928467,189.59
8,884736,2.969167470932007,25.753267288208008,33108,0.09253139700740576,0.0005173941637622193,"tensor(4.7823, device='cuda:0', dtype=torch.float64)",0.9785434603691101,-8.295611548423768,214.38
9,983040,2.9712469577789307,28.72451424598694,33085,0.07403069660067559,-0.00284498341352446,"tensor(4.0421, device='cuda:0', dtype=torch.float64)",0.9774391055107117,-8.845485696792602,236.21
