Iteration,Total Timesteps,Iteration Time,Total Time,FPS,Value Function Loss,Surrogate Loss,    Imitate Loss,Mean Action Noise Std,Mean Reward,Mean Episode Length
0,98304,2.3705921173095703,2.3705921173095703,41468,0.04687936026602983,-0.005000544970971532,"tensor(inf, device='cuda:0', dtype=torch.float64)",0.999603271484375,-0.4820325970649719,11.5
1,196608,2.17539644241333,4.5459885597229,45189,0.15458279401063918,-0.0027605311130173503,"tensor(49.6375, device='cuda:0', dtype=torch.float64)",0.9982132315635681,-0.9477595828828358,25.238095238095237
2,294912,2.2898447513580322,6.835833311080933,42930,0.18294449970126153,-0.0025802495554671625,"tensor(26.3529, device='cuda:0', dtype=torch.float64)",0.9991961717605591,-1.317648065501246,35.758620689655174
3,393216,2.1684184074401855,9.004251718521118,45334,0.12276573888957501,-0.0014666508184745907,"tensor(18.5576, device='cuda:0', dtype=torch.float64)",0.999172031879425,-2.3721681783596673,55.645833333333336
4,491520,2.163771629333496,11.168023347854614,45431,0.06375722624361516,-0.001327086547644285,"tensor(16.4569, device='cuda:0', dtype=torch.float64)",0.9968077540397644,-4.965054219961166,98.02
5,589824,2.1921536922454834,13.360177040100098,44843,0.08349574767053128,-0.0015193120100775559,"tensor(13.7566, device='cuda:0', dtype=torch.float64)",0.9930066466331482,-6.16980886220932,139.75
6,688128,2.392271041870117,15.752448081970215,41092,0.06045127473771572,0.0028485794624430127,"tensor(11.7495, device='cuda:0', dtype=torch.float64)",0.988429069519043,-7.239147081375122,165.29
7,786432,2.3510425090789795,18.103490591049194,41812,0.05363636575639248,-0.0021268552693072705,"tensor(11.0957, device='cuda:0', dtype=torch.float64)",0.9864144325256348,-7.502428884506226,188.54
8,884736,2.4457571506500244,20.54924774169922,40193,0.07743433583527803,-0.0014610030833864585,"tensor(9.6519, device='cuda:0', dtype=torch.float64)",0.9830078482627869,-8.096233277320861,213.27
9,983040,2.3392488956451416,22.88849663734436,42023,0.05903170369565487,0.0006027782015735284,"tensor(8.1036, device='cuda:0', dtype=torch.float64)",0.9806324243545532,-8.767635025978088,236.78
10,1081344,2.3606631755828857,25.249159812927246,41642,0.08143354319036007,0.0009118093526922167,"tensor(6.8713, device='cuda:0', dtype=torch.float64)",0.9762851595878601,-9.471301894187928,259.92
11,1179648,2.32301926612854,27.572179079055786,42317,0.06672632787376642,0.0028065951191820204,"tensor(6.5931, device='cuda:0', dtype=torch.float64)",0.9755943417549133,-9.760016248226165,264.26
12,1277952,2.5237085819244385,30.095887660980225,38952,0.0424453254789114,-0.003979642933700234,"tensor(6.0036, device='cuda:0', dtype=torch.float64)",0.972813069820404,-10.099013578891753,282.8
13,1376256,2.4437761306762695,32.539663791656494,40226,0.034780827909708024,0.0015583530359435827,"tensor(5.4915, device='cuda:0', dtype=torch.float64)",0.9700403213500977,-9.905772218704223,281.93
14,1474560,2.5063676834106445,35.04603147506714,39221,0.0620481226593256,-0.002857624633179512,"tensor(5.6620, device='cuda:0', dtype=torch.float64)",0.9683799743652344,-9.35920604467392,279.22
15,1572864,2.580155611038208,37.62618708610535,38100,0.03373342622071505,-0.0008242535448516719,"tensor(5.2686, device='cuda:0', dtype=torch.float64)",0.9625129699707031,-8.85050133705139,260.15
16,1671168,2.4207961559295654,40.04698324203491,40608,0.03050671946257353,0.0014667148716398515,"tensor(4.9421, device='cuda:0', dtype=torch.float64)",0.958969235420227,-8.814036865234375,262.46
17,1769472,2.460561990737915,42.50754523277283,39951,0.03163523096591234,-0.0020396854728460313,"tensor(4.6300, device='cuda:0', dtype=torch.float64)",0.9553415179252625,-7.682932417392731,248.6
18,1867776,9.502843379974365,52.01038861274719,10344,0.025973530020564795,-0.000758664221939398,"tensor(4.3642, device='cuda:0', dtype=torch.float64)",0.9511308670043945,-7.61449729681015,245.62
19,1966080,2.425165891647339,54.43555450439453,40534,0.037533712759613994,-0.0028124202239268926,"tensor(3.2593, device='cuda:0', dtype=torch.float64)",0.9459377527236938,-8.213630442619325,266.67
20,2064384,2.4082343578338623,56.843788862228394,40819,0.03396430080756545,-0.00018294017063453795,"tensor(3.0824, device='cuda:0', dtype=torch.float64)",0.9443058371543884,-7.241583452224732,253.59
21,2162688,2.4332237243652344,59.27701258659363,40400,0.023685796931385995,0.0008123719751893077,"tensor(2.9436, device='cuda:0', dtype=torch.float64)",0.9380256533622742,-7.278010075092316,255.28
22,2260992,2.642961263656616,61.919973850250244,37194,0.021568317618221044,-0.0031616132517228836,"tensor(2.7784, device='cuda:0', dtype=torch.float64)",0.9353594183921814,-7.3973994946479795,262.88
23,2359296,2.448814868927002,64.36878871917725,40143,0.020431513804942368,-0.0019127277657389641,"tensor(2.6259, device='cuda:0', dtype=torch.float64)",0.9307085275650024,-7.034509086608887,256.5
24,2457600,2.4053561687469482,66.7741448879242,40868,0.02028197767212987,-0.0009086259698960931,"tensor(2.1274, device='cuda:0', dtype=torch.float64)",0.9274221658706665,-7.4826407670974735,276.03
25,2555904,2.5641794204711914,69.33832430839539,38337,0.020155330281704666,-0.001125340584985679,"tensor(2.0116, device='cuda:0', dtype=torch.float64)",0.9234506487846375,-6.9763254857063295,264.3
26,2654208,2.4332447052001953,71.77156901359558,40400,0.024855684768408538,-0.002884343167534098,"tensor(1.9340, device='cuda:0', dtype=torch.float64)",0.9231743216514587,-6.782825794219971,266.05
27,2752512,2.4498555660247803,74.22142457962036,40126,0.019638519641011952,-0.001740008451452013,"tensor(1.8515, device='cuda:0', dtype=torch.float64)",0.9199150204658508,-6.257356972694397,248.54
28,2850816,2.49052095413208,76.71194553375244,39471,0.016656631883233786,0.0012675570422288728,"tensor(1.6927, device='cuda:0', dtype=torch.float64)",0.9169125556945801,-6.447301552295685,257.85
29,2949120,2.6198270320892334,79.33177256584167,37523,0.021446004509925842,-0.003434869766351767,"tensor(1.6217, device='cuda:0', dtype=torch.float64)",0.9157392382621765,-6.556383829116822,277.71
30,3047424,2.384737968444824,81.7165105342865,41222,0.023077964410185815,-0.0016279293922707438,"tensor(1.5521, device='cuda:0', dtype=torch.float64)",0.9130880236625671,-6.524658029079437,269.56
31,3145728,2.390493392944336,84.10700392723083,41122,0.019137723185122014,-0.0016544300713576376,"tensor(1.4894, device='cuda:0', dtype=torch.float64)",0.910321056842804,-5.930909502506256,250.74
32,3244032,2.4046151638031006,86.51161909103394,40881,0.020615422539412974,-0.0020802967414056185,"tensor(1.5048, device='cuda:0', dtype=torch.float64)",0.9098106622695923,-6.169583096504211,266.85
33,3342336,2.405226707458496,88.91684579849243,40870,0.014685820415616035,-0.0017278173225349746,"tensor(1.4543, device='cuda:0', dtype=torch.float64)",0.9044544100761414,-5.824389655590057,261.97
34,3440640,2.502971649169922,91.41981744766235,39274,0.015279464423656464,-0.0045268131420016285,"tensor(1.4096, device='cuda:0', dtype=torch.float64)",0.9004368782043457,-5.877212023735046,270.77
35,3538944,2.4649503231048584,93.88476777076721,39880,0.017782739456743003,0.0003066729637794197,"tensor(1.3482, device='cuda:0', dtype=torch.float64)",0.8967426419258118,-5.812004489898682,264.2
36,3637248,2.588489294052124,96.47325706481934,37977,0.014710227400064469,-0.0037105087052623277,"tensor(1.2980, device='cuda:0', dtype=torch.float64)",0.8934358954429626,-6.055714657306671,278.77
37,3735552,2.498918294906616,98.97217535972595,39338,0.015103430487215519,-2.5168390129692854e-05,"tensor(1.2675, device='cuda:0', dtype=torch.float64)",0.8907726407051086,-5.49747008562088,267.86
38,3833856,2.448570489883423,101.42074584960938,40147,0.013595325779169798,-0.003653010632842779,"tensor(1.2232, device='cuda:0', dtype=torch.float64)",0.8855797052383423,-5.498744773864746,267.18
39,3932160,2.5290775299072266,103.9498233795166,38869,0.011761614819988608,-0.0008686985605891095,"tensor(1.1776, device='cuda:0', dtype=torch.float64)",0.8833736777305603,-5.710295631885528,275.99
40,4030464,8.871761798858643,112.82158517837524,11080,0.011985898669809102,-0.004444220863842929,"tensor(1.1440, device='cuda:0', dtype=torch.float64)",0.8787552118301392,-5.220738997459412,260.77
41,4128768,2.377963066101074,115.19954824447632,41339,0.016656630393117666,-0.0004533442901447415,"tensor(1.1233, device='cuda:0', dtype=torch.float64)",0.8768577575683594,-5.275996565818787,257.61
42,4227072,2.4520981311798096,117.65164637565613,40089,0.011289645964279772,-0.00017735927685862406,"tensor(1.0937, device='cuda:0', dtype=torch.float64)",0.8744276165962219,-5.281820497512817,269.39
43,4325376,2.406511068344116,120.05815744400024,40849,0.012152184918522834,-0.0022663543662929443,"tensor(1.0539, device='cuda:0', dtype=torch.float64)",0.8714889883995056,-5.330850474834442,272.41
44,4423680,2.611057996749878,122.66921544075012,37649,0.01189421135932207,-0.0036340194710646756,"tensor(0.9993, device='cuda:0', dtype=torch.float64)",0.8678649067878723,-5.32789838552475,274.71
45,4521984,2.5744082927703857,125.24362373352051,38185,0.01078028529882431,-0.0009906534105539322,"tensor(0.9779, device='cuda:0', dtype=torch.float64)",0.865155816078186,-5.057528915405274,273.06
46,4620288,2.500722646713257,127.74434638023376,39310,0.010347323771566153,-0.001944441507657757,"tensor(0.9417, device='cuda:0', dtype=torch.float64)",0.8610958456993103,-4.744529297351837,261.43
47,4718592,2.419206142425537,130.1635525226593,40634,0.011915745027363301,-0.0008434479605057277,"tensor(0.9259, device='cuda:0', dtype=torch.float64)",0.8590646982192993,-4.914865701198578,263.37
48,4816896,2.3274965286254883,132.4910490512848,42235,0.01051538777537644,-0.0044652769109234216,"tensor(0.9001, device='cuda:0', dtype=torch.float64)",0.8535587191581726,-5.184047305583954,285.58
49,4915200,2.4314279556274414,134.92247700691223,40430,0.008736106613650919,-0.003722534678672673,"tensor(0.8782, device='cuda:0', dtype=torch.float64)",0.8508254885673523,-4.780410630702972,268.46
50,5013504,2.88462495803833,137.80710196495056,34078,0.010636102827265858,-0.0021119188240845688,"tensor(0.8568, device='cuda:0', dtype=torch.float64)",0.8483861088752747,-4.763979156017303,273.97
51,5111808,2.382629632949829,140.1897315979004,41258,0.010607596626505256,-0.003204289617133327,"tensor(0.8416, device='cuda:0', dtype=torch.float64)",0.8457784652709961,-4.667942399978638,263.05
52,5210112,2.667088031768799,142.8568196296692,36858,0.008420482603833079,-0.0028391941061272517,"tensor(0.8271, device='cuda:0', dtype=torch.float64)",0.8422738313674927,-4.792193651199341,269.11
53,5308416,2.4563581943511963,145.31317782402039,40020,0.010266088834032416,0.000793747472926043,"tensor(0.8088, device='cuda:0', dtype=torch.float64)",0.8405761122703552,-4.4416928958892825,257.94
54,5406720,2.4166946411132812,147.72987246513367,40677,0.008686501206830144,-0.002893651077101822,"tensor(0.7979, device='cuda:0', dtype=torch.float64)",0.8376818895339966,-4.465599710941315,265.48
55,5505024,2.4539191722869873,150.18379163742065,40059,0.008812731551006436,-0.00248967428724427,"tensor(0.7838, device='cuda:0', dtype=torch.float64)",0.8353452086448669,-4.5441973018646244,269.23
56,5603328,2.4823129177093506,152.66610455513,39601,0.00905877691693604,-0.0003076101012993604,"tensor(0.7747, device='cuda:0', dtype=torch.float64)",0.833270251750946,-4.6884009599685665,271.7
57,5701632,2.452608108520508,155.1187126636505,40081,0.007586245168931782,0.001889437450154219,"tensor(0.7609, device='cuda:0', dtype=torch.float64)",0.8309234976768494,-4.249489243030548,263.41
58,5799936,2.3864009380340576,157.50511360168457,41193,0.00890825861133635,-0.0046330389159265906,"tensor(0.7429, device='cuda:0', dtype=torch.float64)",0.8280890583992004,-4.185846424102783,258.1
59,5898240,2.413039445877075,159.91815304756165,40738,0.009391314024105668,-0.0021913804768701082,"tensor(0.7245, device='cuda:0', dtype=torch.float64)",0.8246270418167114,-4.16250233411789,264.14
