Iteration,Total Timesteps,Iteration Time,Total Time,FPS,Value Function Loss,Surrogate Loss,    Imitate Loss,Mean Action Noise Std,Mean Reward,Mean Episode Length
0,98304,2.6232903003692627,2.6232903003692627,37473,0.04627676960080862,-0.00542880647990387,"tensor(nan, device='cuda:0', dtype=torch.float64)",0.9988657236099243,-0.4567656274884939,13.8125
1,196608,2.6396994590759277,5.26298975944519,37240,0.1549834728240967,-0.003019267389026936,"tensor(0.0497, device='cuda:0', dtype=torch.float64)",0.9980244636535645,-0.7179777824878693,21.56
2,294912,2.7407658100128174,8.003755569458008,35867,0.17006381154060363,-0.0002846224495442584,"tensor(0.0520, device='cuda:0', dtype=torch.float64)",0.9993862509727478,-0.925777462311089,30.1875
3,393216,2.7911791801452637,10.794934749603271,35219,0.14304841235280036,-0.0017125138503615745,"tensor(0.0547, device='cuda:0', dtype=torch.float64)",1.0003856420516968,-2.286781794223629,57.032786885245905
4,491520,2.920461416244507,13.715396165847778,33660,0.0708629209548235,0.0010459534649271518,"tensor(0.0654, device='cuda:0', dtype=torch.float64)",0.9968911409378052,-4.668071005344391,101.97
5,589824,2.7984378337860107,16.51383399963379,35128,0.05389605816453695,-0.0010718444304075093,"tensor(0.0685, device='cuda:0', dtype=torch.float64)",0.9940520524978638,-6.360592288970947,139.37
6,688128,2.8457348346710205,19.35956883430481,34544,0.04596779551357031,0.00569793398026377,"tensor(0.0699, device='cuda:0', dtype=torch.float64)",0.9905907511711121,-7.096963982582093,165.32
7,786432,2.890082359313965,22.249651193618774,34014,0.057283183000981806,-0.003266855835681781,"tensor(0.0772, device='cuda:0', dtype=torch.float64)",0.9888201951980591,-7.561056985855102,189.19
8,884736,2.9180490970611572,25.16770029067993,33688,0.06627280972898006,-0.003902338957414031,"tensor(0.0764, device='cuda:0', dtype=torch.float64)",0.9853610396385193,-8.235910320281983,213.85
9,983040,2.9426662921905518,28.110366582870483,33406,0.05594681575894356,-0.000343018628336722,"tensor(0.0733, device='cuda:0', dtype=torch.float64)",0.982710063457489,-8.509351601600647,235.48
10,1081344,2.908834934234619,31.019201517105103,33794,0.052082559466362,-0.0014922000118531287,"tensor(0.0698, device='cuda:0', dtype=torch.float64)",0.9781727194786072,-9.516711630821227,257.36
11,1179648,2.9396557807922363,33.95885729789734,33440,0.057000291906297205,9.046773266163655e-05,"tensor(0.0756, device='cuda:0', dtype=torch.float64)",0.9753350615501404,-9.630357332229615,271.07
12,1277952,2.9589107036590576,36.9177680015564,33223,0.04380420483648777,-0.003163008496630937,"tensor(0.0741, device='cuda:0', dtype=torch.float64)",0.9695810675621033,-9.804674882888794,288.88
13,1376256,2.8922204971313477,39.809988498687744,33989,0.04468306358903647,0.001339745704899542,"tensor(0.0733, device='cuda:0', dtype=torch.float64)",0.9664148688316345,-9.496346311569214,269.6
14,1474560,2.983283758163452,42.793272256851196,32951,0.035444370657205584,-0.002462766059579735,"tensor(0.0805, device='cuda:0', dtype=torch.float64)",0.9611268043518066,-8.943517711162567,265.41
