Iteration,Total Timesteps,Iteration Time,Total Time,FPS,Value Function Loss,Surrogate Loss,    Imitate Loss,Mean Action Noise Std,Mean Reward,Mean Episode Length
0,98304,2.6774497032165527,2.6774497032165527,36715,0.047744599729776384,-0.005446829373249784,0,0.9989186525344849,-0.4567656274884939,13.8125
1,196608,2.6490747928619385,5.326524496078491,37108,0.13351197205483914,-0.0017587714944966137,0,0.9985643625259399,-0.7174015605449676,21.56
2,294912,2.760523557662964,8.087048053741455,35610,0.19379772692918779,0.0005054027984442655,0,0.9999618530273438,-0.9465162707492709,30.1875
3,393216,2.794790267944336,10.881838321685791,35174,0.11822712011635303,-0.0016475883585371776,0,0.9992229342460632,-2.2071208393779296,55.310344827586206
4,491520,2.894437551498413,13.776275873184204,33963,0.061332177743315695,-0.002103312416875269,0,0.992708146572113,-4.34624133348465,95.33
5,589824,2.8544230461120605,16.630698919296265,34439,0.059955835528671744,0.0007532297880970873,0,0.987874448299408,-6.160930910110474,138.94
6,688128,2.867859363555908,19.498558282852173,34277,0.06755498256534338,-0.0012905974232126026,0,0.9841465353965759,-7.036881413459778,164.5
7,786432,2.900449275970459,22.399007558822632,33892,0.05863675232976675,-0.001377118591335602,0,0.9791284799575806,-7.591837577819824,190.01
8,884736,2.946296215057373,25.345303773880005,33365,0.08823920544236899,0.0012309848058976059,0,0.9759732484817505,-8.058413805961608,213.63
9,983040,2.9266715049743652,28.27197527885437,33589,0.0576890142634511,-0.000420634365582373,0,0.9729048013687134,-9.090768909454345,237.34
10,1081344,2.9183309078216553,31.190306186676025,33685,0.055037690326571465,0.0002599300496513024,0,0.9693426489830017,-9.165419712066651,258.91
11,1179648,2.933015823364258,34.12332201004028,33516,0.04176969900727272,0.004705510448548012,0,0.9680135846138,-9.383068809509277,268.9
12,1277952,2.9452147483825684,37.06853675842285,33377,0.04603711906820536,-0.003973660760675557,0,0.9628795981407166,-9.900797340869904,279.47
13,1376256,2.946044445037842,40.01458120346069,33368,0.04721038173884153,0.002685125886273454,0,0.9618090987205505,-9.960951027870179,287.73
14,1474560,2.940293073654175,42.95487427711487,33433,0.03788777068257332,-0.002792615722864866,0,0.9578235745429993,-9.114954814910888,273.69
15,1572864,2.913607120513916,45.868481397628784,33739,0.03444095710292459,0.0011208691910724155,0,0.9567474722862244,-8.652730948925019,262.34
16,1671168,2.93563175201416,48.804113149642944,33486,0.03752767713740468,-0.001620821049436927,0,0.9513004422187805,-8.030627989768982,255.38
17,1769472,2.954784870147705,51.75889801979065,33269,0.034172856900841,-0.0018324820077395998,0,0.944660484790802,-7.7319140934944155,249.71
18,1867776,3.042548179626465,54.801446199417114,32309,0.029257324896752833,-0.001805067586246878,0,0.941131591796875,-7.722728924751282,241.56
19,1966080,2.9223568439483643,57.72380304336548,33638,0.034258002135902646,-0.0032736260414822026,0,0.9388455748558044,-7.022707810401917,244.18
20,2064384,2.884518623352051,60.60832166671753,34079,0.03017891841009259,0.0027207101869862528,0,0.9373891949653625,-6.925531959533691,244.65
21,2162688,2.927031993865967,63.535353660583496,33584,0.02973398771136999,-0.0020388150413054975,0,0.9346620440483093,-7.477938735485077,264.75
22,2260992,2.924478054046631,66.45983171463013,33614,0.027536407671868803,0.001916663913289085,0,0.9329830408096313,-7.364690763950348,269.03
23,2359296,2.9088056087493896,69.36863732337952,33795,0.022079690359532833,-0.0009454177488805726,0,0.9307770133018494,-7.082298560142517,261.81
24,2457600,2.9369659423828125,72.30560326576233,33471,0.023224545922130347,-0.0027301704059937036,0,0.9270475506782532,-6.6652048659324645,257.01
25,2555904,2.96286678314209,75.26847004890442,33178,0.01881009005010128,-0.001412511500529945,0,0.9228925704956055,-6.663921439647675,254.88
26,2654208,2.9843649864196777,78.2528350353241,32939,0.019849571958184244,-0.00039961961447261275,0,0.9190449118614197,-6.539814100265503,269.05
27,2752512,2.9491918087005615,81.20202684402466,33332,0.020888881850987674,-0.0033952967012737647,0,0.9164372682571411,-6.373773217201233,259.8
28,2850816,2.96273136138916,84.16475820541382,33180,0.018473393004387616,0.0023324541398324072,0,0.9148685336112976,-6.204983012676239,248.28
29,2949120,2.9556593894958496,87.12041759490967,33259,0.016504804557189345,-0.005274015554459765,0,0.9096493124961853,-6.44179800748825,265.27
30,3047424,2.94368577003479,90.06410336494446,33394,0.01857772544026375,-0.003929617506219074,0,0.9052699208259583,-5.92240816116333,251.83
31,3145728,3.055840253829956,93.11994361877441,32169,0.016775411320850253,0.0005239298276137561,0,0.902343213558197,-5.822737758159637,254.67
32,3244032,2.943894863128662,96.06383848190308,33392,0.016689690575003625,-0.0017663476661255117,0,0.8999620676040649,-5.688652048110962,268.43
33,3342336,3.0299072265625,99.09374570846558,32444,0.017474056128412484,-0.0002059962207567878,0,0.8972243666648865,-5.659842886924744,254.86
34,3440640,2.957178831100464,102.05092453956604,33242,0.020141010452061892,-0.003584427551686531,0,0.8968972563743591,-5.805354180335999,271.43
35,3538944,2.9311578273773193,104.98208236694336,33537,0.015520075615495444,-0.0017877621459774673,0,0.8941497206687927,-5.6917063891887665,265.72
36,3637248,2.940641403198242,107.9227237701416,33429,0.01582018225453794,-0.0007784580579027533,0,0.891788899898529,-5.361786961555481,244.39
37,3735552,2.940523147583008,110.86324691772461,33430,0.017286436911672354,-0.0017462551928474567,0,0.8911637663841248,-5.371146986484527,250.41
38,3833856,3.037860631942749,113.90110754966736,32359,0.01446571946144104,0.0009880428107862827,0,0.8883025050163269,-5.251656248569488,263.05
39,3932160,3.100055694580078,117.00116324424744,31710,0.029628683999180793,-0.002161795816209633,0,0.8880351185798645,-5.3209067773818965,267.08
40,4030464,2.935291051864624,119.93645429611206,33490,0.018223099922761322,0.0023843207887694006,0,0.8884432911872864,-5.180835523605347,251.23
41,4128768,2.9390480518341064,122.87550234794617,33447,0.019315308798104523,-0.002294502498989459,0,0.8874608278274536,-5.185573706626892,264.35
42,4227072,2.974653720855713,125.85015606880188,33047,0.01810124549083412,-0.0009040109958732501,0,0.8853525519371033,-5.236061117649078,277.62
43,4325376,2.9878087043762207,128.8379647731781,32901,0.013954620389267803,-0.0012284738848393317,0,0.8824775815010071,-5.144696917533874,268.81
44,4423680,3.069899320602417,131.90786409378052,32021,0.014847557712346315,-0.002014445782697294,0,0.8802959322929382,-4.970184845924377,261.68
45,4521984,2.9829163551330566,134.89078044891357,32955,0.013926579477265477,-0.0025870462675811725,0,0.8787103891372681,-4.955634055137634,261.26
46,4620288,2.9764463901519775,137.86722683906555,33027,0.016507784370332956,-0.00300102568580769,0,0.8773630261421204,-5.419203660488129,300.71
47,4718592,2.9763412475585938,140.84356808662415,33028,0.020560613228008152,-0.0026493797544389964,0,0.8771092295646667,-4.988768100738525,272.08
48,4816896,2.966280937194824,143.80984902381897,33140,0.01608851682394743,0.0010339458851376549,0,0.876569390296936,-5.075215491056443,257.84
49,4915200,2.985649585723877,146.79549860954285,32925,0.014428883697837592,-0.0028415116597898305,0,0.8745877146720886,-4.622324959039688,256.57
50,5013504,2.972166061401367,149.7676646709442,33074,0.014933269144967199,0.006811104094231269,0,0.8739380240440369,-4.548203370571136,261.81
51,5111808,3.013998031616211,152.78166270256042,32615,0.012770743761211633,-0.002309836965287104,0,0.8719725012779236,-4.969686126708984,266.38
52,5210112,2.9807493686676025,155.76241207122803,32979,0.013712751027196646,-0.002633560335380025,0,0.8695530295372009,-4.673585205078125,277.47
53,5308416,2.988173007965088,158.75058507919312,32897,0.014179173158481717,-7.326359263970517e-05,0,0.8682848811149597,-4.490401382446289,254.09
54,5406720,2.98984956741333,161.74043464660645,32879,0.011194891482591628,-0.0030104124860372396,0,0.8672507405281067,-4.5242770838737485,261.56
55,5505024,3.0168702602386475,164.7573049068451,32584,0.010646454431116581,-0.0018537940748501569,0,0.8644550442695618,-4.53996600151062,264.8
56,5603328,2.9976084232330322,167.75491333007812,32794,0.010866537457332015,0.0006318637591903098,0,0.8626052737236023,-4.448896350860596,265.16
57,5701632,3.089948892593384,170.8448622226715,31814,0.011901464080438018,-0.0037038326205220073,0,0.8597869277000427,-4.29658881187439,264.72
58,5799936,3.0032358169555664,173.84809803962708,32732,0.009600416338071228,-0.0025708148823468946,0,0.8581743240356445,-4.345144584178924,255.16
59,5898240,2.992705821990967,176.84080386161804,32847,0.013514171540737151,-0.001195880869636312,0,0.8569790720939636,-4.325338771343231,260.2
60,5996544,3.0083048343658447,179.8491086959839,32677,0.017197646014392377,-0.0030159139685565607,0,0.8572341799736023,-4.246416616439819,270.5
61,6094848,2.9950051307678223,182.8441138267517,32822,0.012078624218702316,-0.002971935860114172,0,0.8568834662437439,-4.344092168807983,275.41
62,6193152,3.031839609146118,185.87595343589783,32423,0.010974941542372108,-0.001769626885652542,0,0.8538590669631958,-4.438551549911499,282.07
63,6291456,3.0112197399139404,188.88717317581177,32645,0.01361538707278669,-0.0014647520962171256,0,0.8533208966255188,-4.283106637001038,277.08
64,6389760,2.98449969291687,191.87167286872864,32938,0.014003269746899605,-0.00259463039401453,0,0.8537435531616211,-4.528671088218689,280.52
65,6488064,2.987994432449341,194.85966730117798,32899,0.011752666160464286,-0.0002449768304359168,0,0.8517541885375977,-4.143511705398559,256.83
66,6586368,3.00028657913208,197.85995388031006,32764,0.008982396638020872,6.802843417972327e-05,0,0.8504289984703064,-4.145597467422485,253.91
67,6684672,3.0003414154052734,200.86029529571533,32764,0.010759779205545782,0.0002705920778680593,0,0.8502154350280762,-4.1372942447662355,251.61
68,6782976,2.995565176010132,203.85586047172546,32816,0.01198849305510521,-0.0021505096498003694,0,0.8484118580818176,-4.19949024438858,261.05
69,6881280,3.021749973297119,206.87761044502258,32532,0.01575551894493401,-0.0012854947017331142,0,0.8483792543411255,-3.973012136220932,242.25
70,6979584,2.9922780990600586,209.86988854408264,32852,0.010986893158406019,-0.001567277875437867,0,0.8485561609268188,-4.0411216831207275,262.4
71,7077888,3.1220498085021973,212.99193835258484,31487,0.010044116759672761,-0.00233773288782686,0,0.8481780886650085,-4.070448631048203,269.18
72,7176192,2.9944961071014404,215.98643445968628,32828,0.01064607510343194,-0.0009227970498614013,0,0.8479406237602234,-4.131969864368439,267.86
73,7274496,3.0272669792175293,219.0137014389038,32472,0.011601996282115579,-0.0017570291616721078,0,0.8473222851753235,-4.260810117721558,249.53
74,7372800,3.0168814659118652,222.03058290481567,32584,0.010596418892964721,-0.00192377568455413,0,0.8474389314651489,-3.9503337502479554,254.17
75,7471104,3.0057015419006348,225.0362844467163,32705,0.008564448030665518,0.0004690542074968107,0,0.8467574119567871,-3.830007245540619,251.66
76,7569408,3.0307555198669434,228.06703996658325,32435,0.007993939891457557,-0.0031235811242368073,0,0.8447834849357605,-3.7712698197364807,251.66
77,7667712,3.0057570934295654,231.07279706001282,32705,0.009263574704527855,-0.002054434156161733,0,0.8426524996757507,-3.8772490644454956,257.79
78,7766016,3.026407480239868,234.09920454025269,32482,0.010252479091286659,-0.0018657597596757115,0,0.8400238156318665,-3.904490201473236,264.04
79,7864320,3.025770425796509,237.1249749660492,32488,0.008595622843131423,-0.0006116880424087868,0,0.838373601436615,-3.779997351169586,254.81
80,7962624,3.01590633392334,240.14088129997253,32595,0.008817628026008606,-0.0018119353248039261,0,0.8376975059509277,-3.9780315732955933,269.04
81,8060928,2.999758243560791,243.14063954353333,32770,0.008136444678530096,-0.002908191588358022,0,0.8359642028808594,-3.6525489032268523,258.43
82,8159232,3.012186050415039,246.15282559394836,32635,0.008430886687710882,-0.0029632414923980834,0,0.8350406885147095,-4.083038440942764,281.08
83,8257536,3.0028655529022217,249.1556911468506,32736,0.006872245855629444,-0.0002570920478319749,0,0.8337625861167908,-3.7803580594062804,262.58
